22, 8
51, 22
63, 28
12, 2
17, 4
93, 62
45, 15
18, 6
66, 42
45, 28
43, 16
77, 43
38, 27
43, 18
52, 41
21, 8
8, 3
19, 5
7, 2
14, 4
22, 8, Bountiful
51, 22, Centerville
63, 28, Clinton
12, 2, South Weber
17, 4, West Point
93, 62, Cottonwood Heights
45, 15, Murray
18, 6, Salt Lake City
66, 42, South Jordan
45, 28, West Jordan
43, 16, American Fork
77, 43, Lindon
38, 27, Payson
43, 18, Pleasant Grove
52, 41, Spanish Fork
21, 8, Harrisville
8, 3, Ogden
19, 5, Pleasant View
7, 2, Riverdale
14, 4, South Ogden
